WAST,T,S,SR
1/3/2014 9:00,29.56,8,616
1/3/2014 9:10,30.56,7,647
1/3/2014 9:20,30.77,7,692
1/3/2014 9:30,31.37,8,720
1/3/2014 9:40,31.56,7,754
1/3/2014 9:50,31.67,7,786
1/3/2014 10:00,32.25,7,819
1/3/2014 10:10,32.62,8,841
1/3/2014 10:30,33.36,8,900
2/3/2014 6:50,18.71,3,118
2/3/2014 7:00,20.14,3,161
2/3/2014 7:10,20.39,1,213
2/3/2014 7:20,20.97,0,270
2/3/2014 7:30,22.87,2,299
2/3/2014 7:40,23.76,3,350
2/3/2014 7:50,24.71,3,378
2/3/2014 8:00,25.83,4,294
2/3/2014 8:10,26.51,4,461
2/3/2014 8:20,27.29,4,403
2/3/2014 8:30,27.7,4,537
2/3/2014 8:40,28.85,4,566
2/3/2014 8:50,28.92,5,430
2/3/2014 9:00,29.33,5,681
2/3/2014 9:10,29.71,6,313
2/3/2014 9:20,30.29,6,737
2/3/2014 14:50,34.65,7,750
2/3/2014 15:00,34.4,7,744
2/3/2014 15:30,32.75,8,615
2/3/2014 15:40,33.3,8,664
2/3/2014 15:50,32.29,7,611
2/3/2014 16:00,31.22,5,595
2/3/2014 16:10,30.88,5,551
2/3/2014 16:20,30.83,5,519
2/3/2014 16:30,30.84,5,464
2/3/2014 16:40,30.84,5,455
2/3/2014 16:50,30.89,5,410
2/3/2014 17:00,29.92,5,287
2/3/2014 17:10,29.32,5,323
2/3/2014 17:20,28.42,6,298
2/3/2014 17:30,27.82,6,241
2/3/2014 17:40,27.45,5,240
2/3/2014 17:50,27.4,5,187
2/3/2014 18:00,27.11,4,149
3/3/2014 7:30,19.59,3,152
3/3/2014 7:40,21.06,4,355
3/3/2014 7:50,21.57,4,421
3/3/2014 8:00,22.58,4,552
3/3/2014 8:10,22.71,5,298
3/3/2014 8:20,23.22,4,291
3/3/2014 8:30,23.58,4,383
3/3/2014 8:40,25.33,4,321
3/3/2014 8:50,24.77,5,330
3/3/2014 9:00,25.45,5,220
3/3/2014 9:10,26.22,4,680
3/3/2014 9:20,26.64,4,689
3/3/2014 9:30,26.62,5,696
3/3/2014 9:40,27.06,4,730
3/3/2014 9:50,26.8,4,770
3/3/2014 10:00,27.57,4,782
3/3/2014 10:10,27.54,4,802
3/3/2014 10:20,27.77,5,837
3/3/2014 10:30,28.7,4,867
3/3/2014 10:40,29.09,4,896
3/3/2014 10:50,28.49,4,904
3/3/2014 11:00,28.39,5,916
3/3/2014 11:10,28.8,6,929
3/3/2014 11:20,28.77,7,958
3/3/2014 11:30,28.3,6,971
3/3/2014 11:40,28.23,6,962
3/3/2014 11:50,29.31,7,977
3/3/2014 12:00,28.5,8,999
3/3/2014 12:10,28.92,9,996
3/3/2014 12:20,28.76,7,995
3/3/2014 12:30,27.46,8,285
3/3/2014 12:40,27.64,7,1014
3/3/2014 12:50,27.17,8,1025
3/3/2014 13:00,26.91,9,975
3/3/2014 13:10,27.65,7,963
3/3/2014 13:20,27.41,8,963
3/3/2014 13:30,28.36,8,947
3/3/2014 13:40,27.71,9,934
3/3/2014 13:50,27.66,7,922
3/3/2014 14:00,27.71,7,932
3/3/2014 14:10,26.45,9,930
3/3/2014 14:20,26.66,8,868
3/3/2014 14:30,26.33,8,844
3/3/2014 14:40,26.1,9,807
3/3/2014 14:50,25.7,8,773
3/3/2014 15:00,25.79,8,746
3/3/2014 15:10,26.15,9,715
3/3/2014 15:20,26.54,7,685
3/3/2014 15:30,25.3,9,659
3/3/2014 15:40,25.22,9,630
3/3/2014 15:50,25.18,8,595
3/3/2014 16:00,25.84,7,558
3/3/2014 16:10,25.56,8,525
3/3/2014 16:20,25.17,8,493
3/3/2014 16:30,24.9,8,443
3/3/2014 16:40,24.46,9,424
3/3/2014 16:50,24.41,9,375
3/3/2014 17:00,24.08,8,346
3/3/2014 17:10,24.29,7,312
3/3/2014 17:20,24.47,6,281
3/3/2014 17:30,23.72,7,242
3/3/2014 17:40,23.57,7,212
3/3/2014 17:50,23.25,6,160
3/3/2014 18:00,23.08,6,112
4/3/2014 6:50,16.06,6,114
4/3/2014 7:00,16.46,5,149
4/3/2014 7:10,17.09,5,202
4/3/2014 7:20,17.64,5,250
4/3/2014 7:30,18.3,5,291
4/3/2014 7:40,18.57,7,319
4/3/2014 7:50,18.96,6,349
4/3/2014 8:00,19.47,7,396
4/3/2014 8:10,20.24,7,438
4/3/2014 8:20,20.37,7,454
4/3/2014 8:30,20.47,8,506
4/3/2014 8:40,20.74,7,541
4/3/2014 8:50,21.47,6,565
4/3/2014 9:00,21.98,7,615
4/3/2014 9:10,22.14,8,630
4/3/2014 9:20,22.54,7,673
4/3/2014 9:30,22.92,7,716
4/3/2014 9:40,23.04,7,744
4/3/2014 9:50,23.36,8,782
4/3/2014 10:00,23.9,7,817
4/3/2014 10:10,24.42,8,834
4/3/2014 10:20,24.52,8,878
4/3/2014 10:30,25.08,7,896
4/3/2014 10:40,25.67,7,912
4/3/2014 10:50,26.08,6,929
4/3/2014 11:00,26.26,7,941
4/3/2014 11:10,26.84,8,968
4/3/2014 11:20,27.01,8,972
4/3/2014 11:30,26.98,8,984
4/3/2014 11:40,27.79,7,996
4/3/2014 11:50,28.02,7,1013
4/3/2014 12:00,28.05,7,1014
4/3/2014 12:10,29.18,6,1017
4/3/2014 12:20,28.24,7,1012
4/3/2014 12:30,29.41,6,997
4/3/2014 12:40,29.68,7,1003
4/3/2014 12:50,29.69,6,1005
4/3/2014 13:00,31.06,5,995
4/3/2014 13:10,30.59,7,1006
4/3/2014 13:20,30.96,6,983
4/3/2014 13:30,31.39,6,965
4/3/2014 13:40,30.34,7,958
4/3/2014 13:50,31.39,7,936
4/3/2014 14:00,31.87,7,931
4/3/2014 14:10,31.36,7,899
4/3/2014 14:20,32.22,7,873
4/3/2014 14:30,32.61,7,842
4/3/2014 15:10,32.24,7,697
4/3/2014 15:20,32.45,6,721
4/3/2014 15:40,32.66,7,701
4/3/2014 17:50,30.58,7,168
4/3/2014 18:00,30.21,7,120
5/3/2014 6:50,18.14,7,107
5/3/2014 7:00,18.35,7,140
5/3/2014 7:10,18.66,7,203
5/3/2014 7:20,18.97,7,249
5/3/2014 7:30,19.36,8,298
5/3/2014 7:40,19.38,8,201
5/3/2014 7:50,20.14,6,354
5/3/2014 8:00,19.83,10,394
5/3/2014 8:10,20.63,8,427
5/3/2014 8:20,21.01,9,465
5/3/2014 8:30,21.52,7,488
5/3/2014 8:40,21.39,10,530
5/3/2014 8:50,21.82,11,562
5/3/2014 9:00,21.88,12,616
5/3/2014 9:10,22.77,9,645
5/3/2014 9:20,22.55,9,679
5/3/2014 9:30,23.69,8,714
5/3/2014 9:40,23.69,7,744
5/3/2014 9:50,24.05,7,775
5/3/2014 10:00,24.83,8,794
5/3/2014 10:10,25.03,9,818
5/3/2014 10:20,25.22,8,840
5/3/2014 10:30,25.03,8,881
5/3/2014 10:40,25.29,8,893
5/3/2014 10:50,25.35,8,915
5/3/2014 11:00,25.38,9,926
5/3/2014 11:10,26.88,7,940
5/3/2014 11:20,26.89,8,946
5/3/2014 11:30,27.87,7,960
5/3/2014 11:40,27.91,8,979
5/3/2014 11:50,27.76,8,977
5/3/2014 12:00,28.24,8,992
5/3/2014 12:10,28.95,7,991
5/3/2014 12:20,29.08,6,985
5/3/2014 12:30,28.72,7,1005
5/3/2014 12:40,29.52,7,997
5/3/2014 12:50,29.69,7,980
5/3/2014 13:00,29.99,8,984
5/3/2014 13:10,30.13,8,971
5/3/2014 13:20,30.45,6,957
5/3/2014 13:30,30.77,7,937
5/3/2014 13:40,30.85,6,913
5/3/2014 13:50,30.9,6,906
5/3/2014 14:00,31.57,7,878
